index,lights,street_inf,bikes,landmarks,memorials,trees,transport_stops,bus-stops,tram-stops,metro-stations,taxi-ranks,big-car-parks,buildings_2010,buildings_2011,buildings_2012,buildings_2013,buildings_2014,buildings_2015,buildings_2016,buildings_2017,buildings_2018,buildings_2019,buildings_2020,avg_n_floors_2010,avg_n_floors_2011,avg_n_floors_2012,avg_n_floors_2013,avg_n_floors_2014,avg_n_floors_2015,avg_n_floors_2016,avg_n_floors_2017,avg_n_floors_2018,avg_n_floors_2019,avg_n_floors_2020,sensor_id
65,267,1552,2,20,20,403,7,3,3,1,18,8,279,279,273,273,273,272,272,273,270,268,271,6.896057347670251,7.075268817204301,7.142857142857143,7.135531135531136,7.256410256410256,7.319852941176471,7.345588235294118,7.457875457875458,7.511111111111111,7.552238805970149,7.498154981549815,65
66,499,1280,3,16,11,477,4,0,3,1,11,7,328,327,323,323,321,320,317,316,317,320,318,4.185975609756097,4.409785932721713,4.3993808049535605,4.523219814241486,4.5607476635514015,5.046875,5.296529968454259,5.518987341772152,5.624605678233438,6.50625,6.660377358490566,66
67,272,1569,1,20,17,414,12,9,2,1,16,7,230,231,226,226,226,226,226,226,223,221,222,7.773913043478261,7.748917748917749,7.8584070796460175,7.8584070796460175,8.004424778761061,8.004424778761061,8.0,8.0,8.04932735426009,8.085972850678733,8.067567567567568,67
68,275,1569,1,20,17,415,12,9,2,1,16,7,234,235,230,230,230,230,230,230,227,224,225,7.700854700854701,7.676595744680851,7.782608695652174,7.782608695652174,7.926086956521739,7.926086956521739,7.921739130434783,7.921739130434783,7.969162995594714,8.017857142857142,8.0,68
69,272,1570,1,20,17,413,12,9,2,1,16,7,231,232,227,227,227,227,227,227,224,222,223,7.753246753246753,7.728448275862069,7.8370044052863435,7.8370044052863435,7.9823788546255505,7.9823788546255505,7.977973568281938,7.977973568281938,8.026785714285714,8.063063063063064,8.044843049327355,69
70,0,370,0,1,1,1077,9,9,0,0,0,9,564,564,570,570,574,574,575,575,581,589,587,1.7340425531914894,1.7340425531914894,1.763157894736842,1.763157894736842,1.8153310104529616,1.8153310104529616,1.8469565217391304,1.8469565217391304,1.8726333907056798,1.8743633276740237,1.8943781942078364,70
71,350,1269,3,16,15,726,3,0,2,1,17,6,289,289,286,286,286,285,284,285,285,287,287,6.41522491349481,6.58477508650519,6.608391608391608,6.636363636363637,6.688811188811189,6.901754385964912,6.950704225352113,7.171929824561404,7.171929824561404,7.285714285714286,7.066202090592334,71
72,247,1269,2,19,14,721,7,2,4,1,12,9,155,155,151,151,151,151,152,152,149,149,150,7.619354838709677,7.709677419354839,7.80794701986755,7.814569536423841,8.006622516556291,8.364238410596027,8.31578947368421,8.43421052631579,8.550335570469798,8.59731543624161,8.566666666666666,72
73,347,685,1,3,0,420,8,7,0,1,12,13,136,136,136,130,130,128,128,126,126,131,131,9.139705882352942,9.139705882352942,9.139705882352942,9.515384615384615,9.515384615384615,9.9765625,10.0625,11.182539682539682,10.944444444444445,11.687022900763358,11.793893129770993,73
75,227,757,1,7,13,1313,4,0,3,1,4,3,109,109,109,109,109,108,108,108,108,108,105,7.743119266055046,7.798165137614679,7.798165137614679,7.853211009174312,7.853211009174312,8.546296296296296,8.546296296296296,9.00925925925926,9.00925925925926,9.00925925925926,8.638095238095238,75
76,2,307,0,4,0,995,6,5,0,1,0,0,528,530,530,530,530,530,530,529,529,534,534,1.2670454545454546,1.2811320754716982,1.2811320754716982,1.3056603773584905,1.3056603773584905,1.3150943396226416,1.3150943396226416,1.3232514177693762,1.3232514177693762,1.3314606741573034,1.3333333333333333,76
77,1335,425,1,5,2,522,3,0,3,0,0,5,19,19,24,24,23,23,24,24,24,24,26,7.7368421052631575,7.7368421052631575,8.541666666666666,8.541666666666666,10.217391304347826,10.217391304347826,9.875,9.875,9.083333333333334,9.083333333333334,8.538461538461538,77
78,1430,443,1,5,2,526,3,0,3,0,0,5,19,19,24,24,23,23,24,24,24,24,26,7.7368421052631575,7.7368421052631575,8.541666666666666,8.541666666666666,10.217391304347826,10.217391304347826,9.875,9.875,9.083333333333334,9.083333333333334,8.538461538461538,78
79,274,1267,1,18,12,510,10,6,3,1,11,7,175,176,174,174,174,174,174,175,172,170,171,8.325714285714286,8.323863636363637,8.39655172413793,8.39655172413793,8.505747126436782,8.505747126436782,8.5,8.457142857142857,8.55813953488372,8.629411764705882,8.602339181286549,79
80,0,269,0,5,0,514,9,9,0,0,1,7,84,81,81,79,79,77,77,76,76,73,76,5.238095238095238,7.54320987654321,7.54320987654321,8.253164556962025,8.253164556962025,10.987012987012987,10.987012987012987,12.539473684210526,12.539473684210526,15.95890410958904,16.407894736842106,80
81,0,283,0,5,0,502,7,7,0,0,1,6,87,83,83,82,82,80,80,79,79,76,79,4.724137931034483,7.385542168674699,7.385542168674699,8.365853658536585,8.365853658536585,11.025,11.025,12.518987341772151,12.518987341772151,15.802631578947368,16.240506329113924,81
82,58,950,2,2,7,709,4,4,0,0,2,12,249,253,253,252,251,251,254,254,254,253,255,3.5863453815261046,3.7154150197628457,3.7865612648221343,4.023809523809524,4.342629482071713,4.892430278884462,4.858267716535433,5.846456692913386,6.019685039370079,6.936758893280633,7.607843137254902,82
